"id","iso","country","score","eh","ev","eh_hi","eh_aq","eh_ws","ev_wr","ev_ag","ev_fo","ev_fi","ev_bd","ev_ce","eh_hi_child_mortality","eh_aq_household_air_quality","eh_aq_exposure_pm25","eh_aq_exceedance_pm25","eh_ws_access_to_sanitation","eh_ws_access_to_drinking_water","ev_wr_wastewater_treatment","ev_ag_agricultural_subsidies","ev_ag_pesticide_regulation","ev_fo_change_in_forest_cover","ev_fi_fish_stocks","ev_fi_coastal_shelf_fishing_pressure","ev_bd_terrestrial_protected_areas_national_biome","ev_bd_terrestrial_protected_areas_global_biome","ev_bd_marine_protected_areas","ev_bd_critical_habitat_protection","ev_ce_trend_in_carbon_intensity","ev_ce_change_of_trend_in_carbon_intensity","ev_ce_trend_in_co2_emissions_per_kwh","access_to_electricity","year"
453,"AO","Angola",28.63,35.28,24.19,14.8,79.27,11.76,0,56,26.24,22.95,41.7,,14.8,45,100,92.81,7.4,16.12,0,100,12,26.24,18.56,27.34,65.54,62.37,38.89,0,,,,35,2011
496,"DJ","Djibouti",28.4,52.4,12.4,30.7,93.39,33.11,0,84,,0,15.45,,30.7,87,100,93.17,48.67,17.56,0,,84,,0,0,0.01,0.01,61.78,0,,,,50,2011
517,"GN","Guinea",27.96,32.03,25.25,17.65,67.55,10.91,0.75,94,17.25,20.73,41,,17.65,3,100,99.64,20.65,1.16,0.75,100,88,17.25,11.18,30.28,39.78,24.24,0,100,,,,20,2011
609,"TG","Togo",27.78,32.51,24.63,25.59,66.75,5.18,0,92,28.15,0,44.23,,25.59,6,100,94.24,10.37,0,0,100,84,28.15,0,0,66.28,66.41,0,,,,,28,2011
561,"MM","Myanmar",27.65,41.91,18.14,45.24,49.81,30.69,0,80,24.47,0,28.62,,45.24,8,81.36,60.07,32.27,29.11,0,100,60,24.47,0,0,36.02,25.86,52.61,0,,,,49,2011
553,"MR","Mauritania",27.15,37.21,20.44,26.45,80.67,4.52,0,56,,23.31,32.63,,26.45,42,100,100,5.55,3.48,0,100,12,,15.76,30.86,3.16,2.54,92.2,,,,,18,2011
548,"MG","Madagascar",26.58,36.89,19.7,40.92,67.33,2.43,0.53,92,7.75,0,37.08,,40.92,2,100,100,4.86,0,0.53,100,84,7.75,0,0,18.6,18.07,68.66,43,,,,14,2011
567,"NE","Niger",26.47,27.2,25.98,11.26,67.4,2.93,0,78,,,41.56,,11.26,4,100,98.2,5.86,0,0,100,56,,,,41.56,36.55,,,,,,9,2011
476,"BI","Burundi",25.91,31.87,21.93,17.67,61.32,16.63,0,88,22.83,,30.29,,17.67,4,99.38,80.58,21.3,11.96,0,100,76,22.83,,,30.29,30.5,,,,,,5,2011
503,"ER","Eritrea",25.61,43.07,13.98,45.47,78.2,5.53,0,92,,0,17.94,,45.47,40,100,94.6,11.06,0,0,100,84,,0,0,28.28,25.55,0,,,,,33,2011
462,"BD","Bangladesh",25.53,30.23,22.4,53.82,14.3,22.56,0,92,22.83,0,39.68,,53.82,9,33.91,0,31,14.12,0,100,84,22.83,0,0,11.26,30.5,77.27,,,,,55,2011
494,"CD","Dem. Rep. Congo",25.24,24.59,25.67,10.61,58.77,4.39,0,58,26.24,,44.66,,10.61,7,94.48,74.82,4.03,4.76,0,100,16,26.24,,,59.59,59.49,,0,,,,15,2011
598,"SD","Sudan",24.59,36.22,16.84,29.62,73.55,5.51,0,92,,22.75,16.29,,29.62,21,100,99.64,8.44,2.57,0,100,84,,3.23,42.27,5.77,2.81,40.28,,,,,29,2011
543,"LR","Liberia",23.86,37.77,14.59,34.88,67.21,11.22,0,96,20.58,30.5,4.13,,34.88,2,100,99.64,21.36,1.08,0,100,92,20.58,13.31,47.7,10.35,6.19,0,0,,,,4,2011
450,"AF","Afghanistan",21.71,34.97,12.87,32.86,64.34,7.69,0,50,52.35,,2.52,,32.86,15,97.44,80.58,11.33,4.06,0,100,0,52.35,,,2.19,4.53,,0,,,,41,2011
542,"LS","Lesotho",20.63,42.86,5.82,34.97,79.67,13.94,0.3,56,,,1.3,,34.97,39,100,100,24.49,3.39,0.3,100,12,,,,1.3,1.3,,,,,,17,2011
588,"SL","Sierra Leone",19.42,27.79,13.84,11.28,67.33,4.77,0,56,18.52,26.94,12.15,,11.28,2,100,100,9.54,0,0,100,12,18.52,22.5,31.38,31.39,5.05,0,,,,,12,2011
520,"HT","Haiti",18.91,36.8,6.98,32.37,69.67,8.37,0,52,23.64,0,1.09,,32.37,9,100,100,13.41,3.33,0,100,4,23.64,0,0,1.59,2.76,0,0,,,,34,2011
551,"ML","Mali",18.35,28.22,11.77,9.15,67.33,8.19,0,58,,,14.3,,9.15,2,100,100,14.35,2.03,0,100,16,,,,14.3,19.92,,,,,,17,2011
593,"SO","Somalia",15.42,28.79,6.5,18.06,67.01,1.29,3.96,56,,0,1.75,,18.06,5,100,96.04,0,2.58,3.96,100,12,,0,0,3.43,3.56,0,0,,,,29,2011
780,"CH","Switzerland",88.6,94.49,84.67,100,83.46,100,96.95,49.36,49.65,,100,78.14,100,95,87.75,67.63,100,100,96.95,6.73,92,49.65,,,100,100,,,67.91,38.47,98.63,100,2010
724,"LU","Luxembourg",84.73,96.12,77.14,95.18,93.18,100,95,62.3,33.76,,100,56.75,95.18,95,100,84.53,100,100,95,32.6,92,33.76,,,100,100,,,65.21,54.4,39.86,100,2010
635,"AU","Australia",82.2,99.29,70.8,99.54,98.33,100,92.33,66.72,100,19.42,82.07,47.67,99.54,95,100,100,100,100,92.33,57.44,76,100,24.2,14.65,72.04,70.96,99.29,86,44.55,31.12,53.98,100,2010
671,"CZ","Czech Republic",81.93,91.98,75.24,100,78.03,97.91,75.68,64.93,45.05,,98.35,65.82,100,100,79.41,54.68,99.87,95.96,75.68,33.85,96,45.05,,,98.35,98.41,,,77.62,30.98,54.43,100,2010
767,"SG","Singapore",81.78,99.44,70.01,100,98.33,100,99.65,96,,0,46.33,86.85,100,95,100,100,100,100,99.65,,96,,0,0,28.47,28.47,82.04,,90,0,81.37,73,2010
690,"DE","Germany",80.76,93.69,72.13,100,81.07,100,95.18,63.44,31.35,13.4,100,62.77,100,95,85.25,62.95,100,100,95.18,34.88,92,31.35,8.33,18.46,100,100,100,,65.24,27.82,58.26,100,2010
774,"ES","Spain",79.6,97.24,67.83,95.36,97.01,99.33,92.83,62.55,45.05,23.96,56.56,81.84,95.36,95,100,96.04,99.76,98.91,92.83,33.1,92,45.05,23.13,24.8,50.34,46.11,73.21,,77.96,69.8,89.97,100,2010
636,"AT","Austria",78.9,93.77,68.99,100,81.3,100,79.05,63.47,19.87,,86.59,62.09,100,95,84.86,64.03,100,100,79.05,34.95,92,19.87,,,86.59,93.99,,,54.7,51.19,76.91,100,2010
747,"NO","Norway",77.97,99.44,63.66,100,98.33,100,77.05,46,32.52,20.65,71.45,75.65,100,95,100,100,100,100,77.05,0,92,32.52,14.39,26.9,75.88,78.07,60.41,,65.82,15.48,95.33,100,2010
779,"SE","Sweden",77.93,99.05,63.85,99.91,97.25,100,87.86,63.23,14.35,23.6,62.38,77.34,99.91,95,100,96.76,100,100,87.86,34.46,92,14.35,8.38,38.83,47.29,50.31,89.54,,77.67,29.51,76.93,100,2010
796,"GB","United Kingdom",77.09,98.14,63.06,99.46,94.98,100,97.93,63.72,43.06,0,70.11,54.24,99.46,95,100,89.93,100,100,97.93,31.44,96,43.06,0,0,100,100,80.43,0,57.37,24.81,48.64,100,2010
673,"DK","Denmark",77.03,98.17,62.95,100,94.5,100,93.45,63.7,18.52,8.06,67.74,67.22,100,95,100,88.49,100,100,93.45,35.4,92,18.52,9.09,7.02,74.74,74.74,53.74,,68.22,45.65,65.31,100,2010
742,"NL","Netherlands",76.92,92.26,66.69,100,76.77,100,98.82,63.79,33.76,0.74,88.06,53.32,100,95,80.62,54.68,100,100,98.82,31.58,96,33.76,1.48,0,90.05,90.05,84.08,,51.32,23.74,57.54,100,2010
769,"SI","Slovenia",76.76,92.36,66.36,100,81.12,95.97,53.99,61.51,45.05,,100,54.59,100,96,84.42,62.95,100,91.93,53.99,31.02,92,45.05,,,100,100,,,54.68,21.68,58.47,100,2010
701,"IS","Iceland",76.45,98.64,61.66,97.59,98.33,100,51.94,50.22,,16.99,81.9,71.31,97.59,95,100,100,100,100,51.94,4.43,96,,10.18,23.81,85.77,91.53,68.38,,57.21,42.29,99.77,100,2010
743,"NZ","New Zealand",76.31,87.79,68.65,93.75,98.33,71.28,77.9,81.73,100,3.43,76.05,62.94,93.75,95,100,100,42.55,100,77.9,67.47,96,100,6.87,0,83.93,84.27,100,36,63.47,35.01,63.15,100,2010
685,"FI","Finland",75.92,99.44,60.23,100,98.33,100,84.25,64.78,11.77,37.39,61.83,62.24,100,95,100,100,100,100,84.25,33.55,96,11.77,11.76,63.01,50.17,50.44,84.88,,62.1,37.12,62.75,100,2010
757,"PT","Portugal",75.5,97.64,60.73,99.51,97.97,95.45,70.33,61.81,7.75,30.23,64.36,80.68,99.51,95,100,98.92,100,90.89,70.33,31.61,92,7.75,18.86,41.61,50.3,48.82,58.33,100,78.41,50.93,90,100,2010
768,"SK","Slovakia",74.77,88.9,65.36,92.39,76.88,97.44,57.64,61.55,21.31,,84.33,72.48,92.39,100,78.48,52.16,94.87,100,57.64,35.1,88,21.31,,,84.33,91.11,,,90,39.14,53.21,100,2010
706,"IE","Ireland",74.68,96.25,60.3,100,98.33,90.43,87.47,64.41,100,17.77,18.74,75.01,100,95,100,100,84.17,96.69,87.47,32.82,96,100,9.6,25.94,10.36,10.36,35.49,,70.69,6.08,84.84,100,2010
708,"IT","Italy",74.39,81.82,69.43,100,81.94,63.51,91.44,56.67,55.41,24.03,79.77,63.41,100,95,83.56,67.27,27.03,100,91.44,33.34,80,55.41,10.67,37.4,62.69,63.18,93.19,100,53.69,62.07,82.59,100,2010
682,"EE","Estonia",73.6,86.61,64.92,93.27,95.97,70.6,75.27,65.19,9.02,27.66,100,56.71,93.27,89,100,98.92,60.6,80.59,75.27,34.38,96,9.02,0,55.32,100,100,100,,79.79,0,42.15,100,2010
692,"GR","Greece",73.52,91.76,61.36,100,87.55,87.73,87.33,57.97,22.83,27.76,66.49,59.79,100,95,92.46,75.18,80.67,94.79,87.33,31.95,84,22.83,25.29,30.23,95.73,96.11,74.1,0,60.38,33.91,61.66,100,2010
657,"CA","Canada",73.03,97.67,56.6,100,97.13,95.88,80.42,61.19,16.64,22.05,58.4,59.85,100,95,100,96.4,96.02,95.74,80.42,26.37,96,16.64,15.23,28.87,49.33,58.01,76.28,50,53.78,29.2,72.18,100,2010
795,"AE","United Arab Emirates",72.54,87.38,62.65,95.2,84.55,82.4,67.06,92,,24.33,96.47,33.86,95.2,100,89.25,64.39,72.07,92.72,67.06,,92,,9.42,39.24,94.8,94.61,100,,16.44,0,69.12,94,2010
710,"JP","Japan",72.03,94.04,57.36,98.35,83.77,100,71.26,46.29,55.41,24.21,73.53,43.54,98.35,95,88.67,67.63,100,100,71.26,0.59,92,55.41,23.05,25.37,87.8,90.78,72.56,43,43.59,34.45,43.51,100,2010
686,"FR","France",71,96.49,54,100,89.48,100,83.8,63.74,37.94,0,54.45,49.83,100,95,95.39,78.06,100,100,83.8,35.48,92,37.94,0,0,80.81,86.62,50.38,0,55.72,43.07,38.23,100,2010
700,"HU","Hungary",70.39,89.44,57.69,96.35,71.99,99.99,58.62,63.18,100,,29.57,66.87,96.35,95,74.56,46.4,99.99,100,58.62,34.36,92,100,,,29.57,29.57,,,75.68,44.03,73.08,100,2010
756,"PL","Poland",69.7,76.83,64.95,98.07,73.12,59.31,60.73,63.02,58.94,26.52,91.76,60.53,98.07,95,75.43,48.92,44.95,73.66,60.73,30.05,96,58.94,16.67,36.38,100,100,75.28,,77.14,46.79,48.99,100,2010
764,"RS","Serbia",69.26,77.03,64.08,83.99,69.09,78.01,8.79,96,100,,99.78,62.92,83.99,68,81.36,57.91,69.54,86.47,8.79,100,92,100,,,99.78,99.12,,,76.57,55.3,75.2,100,2010
661,"CL","Chile",69.17,87.64,56.86,90.52,96.44,75.96,68.85,68.49,100,22.08,60.16,35.92,90.52,94,100,95.32,76.46,75.46,68.85,44.99,92,100,18.64,25.52,60.64,47.39,92.62,40,53.08,32.93,12.23,100,2010
642,"BY","Belarus",67.58,80.73,58.82,87.68,80.88,73.62,86.45,68,68.23,,41.25,43.15,87.68,100,83.65,58.99,53.35,93.88,86.45,100,36,68.23,,,41.25,41.25,,,90,36.27,41.89,100,2010
797,"US","United States of America",67.53,92.12,51.14,94.77,95.22,86.37,63.66,60.91,14.35,7.99,63.35,56.45,94.77,95,100,90.65,92.22,80.52,63.66,41.82,80,14.35,10.69,5.28,49.58,59.81,100,44,54.67,29.84,60.18,100,2010
730,"MT","Malta",67.28,94.54,49.11,85.29,98.33,100,37.01,17.45,,0,80.96,55.32,85.29,95,100,100,100,100,37.01,30.91,4,,0,0,100,100,42.88,,52.53,60.01,59.41,100,2010
651,"BN","Brunei Darussalam",67.15,90.44,51.62,99.42,98.09,73.8,37.84,68,36.46,46.83,100,21.73,99.42,95,100,99.28,47.6,100,37.84,,68,36.46,21.05,72.62,100,100,,,0,16,64.57,73,2010
643,"BE","Belgium",66.69,90.24,50.99,98.76,71.94,100,60,62.3,23.64,0,57.56,64.47,98.76,95,75.14,45.68,100,100,60,32.6,92,23.64,0,0,86.34,86.34,0,,61.8,35.28,70.09,100,2010
762,"SA","Saudi Arabia",66.49,87.4,52.55,93.83,84.87,83.48,28.54,84,,8.79,93.7,46.63,93.83,95,89.82,69.78,100,66.97,28.54,,84,,17.58,0,100,100,81.1,,45.83,44.12,48.49,94,2010
670,"CY","Cyprus",66.19,95.52,46.63,99.89,86.68,100,9.44,58.55,35.07,31.02,77.03,61.92,99.89,95,95.97,69.06,100,100,9.44,29.1,88,35.07,18.25,43.79,100,100,31.08,,64.92,46.81,57.34,100,2010
707,"IL","Israel",66.07,93.48,47.8,97.26,83.19,100,88.4,13.16,,0,39.19,41.86,97.26,95,90.19,64.39,100,100,88.4,22.32,4,,0,0,71.69,40.06,45.01,0,31.85,38.6,61.48,100,2010
652,"BG","Bulgaria",64.12,87.12,48.79,86.89,79.28,95.18,28.86,78.03,84.12,0,68.85,48.18,86.89,93,83.7,61.15,100,90.36,28.86,64.05,92,84.12,0,0,100,100,6.55,,90,45.22,39.47,100,2010
718,"LV","Latvia",63.49,79.22,53,90.9,93.06,53.7,49.62,63.05,3.3,0,95.17,53.27,90.9,95,100,84.17,30.33,77.06,49.62,34.1,92,3.3,0,0,100,100,85.5,,66.42,0,62.58,100,2010
773,"KR","South Korea",63.35,80.55,51.88,94.99,60.87,85.8,83.68,49.37,33.76,21.27,50.4,41.55,94.99,100,55.99,26.62,100,71.6,83.68,6.74,92,33.76,22.01,20.54,36.3,36.3,78.58,,43.55,11.91,41.53,93,2010
758,"QA","Qatar",63.27,89.71,45.64,89.72,79.4,100,67.32,88,,0,8.47,70.93,89.72,100,81.72,56.47,100,100,67.32,,88,,0,0,12.7,12.7,0,,61.38,79.08,90,94,2010
668,"HR","Croatia",63,85.2,48.2,95.43,82.51,77.66,13.23,60.99,63.12,19.99,70.87,63.26,95.43,92,86.84,68.71,76.94,78.39,13.23,25.98,96,63.12,16.1,23.89,71.94,55.18,85.5,,72.63,42.91,63.39,100,2010
678,"EG","Egypt",62.11,72.03,55.5,65.1,77.43,73.57,49.5,73.01,,23.47,65.26,61.05,65.1,100,78.7,53.6,59.67,87.47,49.5,58.02,88,,4.61,42.34,65.81,37.96,92.01,,25.37,74.42,35.25,100,2010
782,"TW","Taiwan",61.97,90.48,42.97,93.47,77.95,100,4.59,39.4,49.65,26.21,71.39,57.69,93.47,100,79.18,54.68,100,100,4.59,6.8,72,49.65,17.82,34.6,67.65,67.65,78.86,,64.79,46.67,48.45,100,2010
788,"TO","Tonga",61.63,75.06,52.68,71.83,85.67,67.67,27.06,56,,43.35,92.16,41.88,71.83,57,100,100,50.03,85.32,27.06,100,12,,7.77,78.94,97.2,97.2,82.09,,7.52,43.04,,92,2010
634,"AM","Armenia",61.05,73.05,53.05,80.4,76.04,62.69,22.59,92,74.82,,80.16,39.91,80.4,81,85.25,61.87,46.76,78.62,22.59,100,84,74.82,,,73.14,73.94,,100,72.39,13.68,89.95,100,2010
723,"LT","Lithuania",60.88,73.04,52.77,92.2,83.12,43.81,45.82,64.96,23.64,0,91.81,51.02,92.2,93,88.36,67.99,40.39,47.22,45.82,33.92,96,23.64,0,0,87.71,87.71,100,,70.02,17.71,42.59,100,2010
728,"MY","Malaysia",59.89,88.54,40.78,94.17,94.36,77.09,8.64,57.68,1.68,21.68,93.37,40.24,94.17,100,100,83.09,62.44,91.75,8.64,35.35,80,1.68,29.67,13.7,100,100,73.49,100,37.59,49.44,31.68,99,2010
790,"TN","Tunisia",58.72,80.37,44.28,89.44,98.92,52.75,27.77,88,100,15.73,31.08,54.38,89.44,100,100,96.76,44.57,60.93,27.77,100,76,100,4.69,26.76,7.4,18.81,67.02,,66.86,47.71,66.57,100,2010
666,"CR","Costa Rica",58.38,82.14,42.54,89.47,98,58.96,0.9,90,19.87,38.25,89.55,38.46,89.47,94,100,100,54.9,63.03,0.9,100,80,19.87,28.57,47.93,94.44,89.28,74.46,100,46.55,34.42,38.81,99,2010
677,"EC","Ecuador",58.18,72.59,48.57,70.68,99.21,47.87,6.4,96,28.15,36.71,88.09,54.66,70.68,98,100,99.64,50.73,45.01,6.4,100,92,28.15,27.15,46.27,91.85,76.5,100,84,48.8,51.28,61.75,97,2010
709,"JM","Jamaica",58.13,69.71,50.41,71.51,96.33,41.28,10,96,18.52,0,88.04,76.98,71.51,89,100,100,31.98,50.57,10,100,92,18.52,0,0,81.34,95.67,75.13,100,16.38,90,60.32,92,2010
732,"MU","Mauritius",57.98,85.84,39.41,86.85,100,70.66,5.44,92,100,50.51,43.7,29.91,86.85,100,100,100,47.33,93.99,5.44,,92,100,6.67,94.36,28.32,28.32,18.17,100,24.23,32.39,,100,2010
801,"VE","Venezuela",57.82,72.65,47.93,69.54,99.4,49.01,14.94,94,33.76,19.98,92.92,43.59,69.54,100,100,98.2,48.15,49.87,14.94,100,88,33.76,11.2,28.76,100,100,85.66,86,47.13,19.22,57.04,100,2010
751,"PA","Panama",56.74,68.19,49.1,71.65,94,38.93,20.15,96,14.35,28.88,86.96,52.82,71.65,82,100,100,23.89,53.96,20.15,,96,14.35,21.74,36.01,92.44,76.52,78.87,100,71.48,32.83,60.36,88,2010
715,"KW","Kuwait",56.52,79.6,41.14,80.01,67.1,91.69,43,92,,0,44.46,42.23,80.01,95,66.73,39.57,100,83.38,43,,92,,0,0,27.37,27.37,78.63,,40.39,0,46.4,94,2010
711,"JO","Jordan",56.23,78.09,41.66,78.38,86.89,69.01,42.3,84,,,8.52,65.68,78.38,100,92.68,67.99,75.61,62.41,42.3,,84,,,,8.52,7.5,,,69.19,65.47,65.75,99,2010
736,"ME","Montenegro",55.97,79.73,40.13,98.66,80.49,60.04,5.1,82,100,0,51.6,47.4,98.66,72,93.57,75.9,46.33,73.75,5.1,100,64,100,0,0,77.82,77,0,,45.27,51.33,41.59,100,2010
637,"AZ","Azerbaijan",55.67,59.87,52.87,61.57,87.42,30.63,13.15,62,63.12,,58.66,80.88,61.57,93,93.35,75.9,34.06,27.19,13.15,100,24,63.12,,,58.66,68.89,,,90,78.28,83.55,100,2010
714,"KI","Kiribati",55.55,50.58,58.86,56.14,84.67,10.93,27.06,56,,36.92,100,,56.14,54,100,100,7.48,14.38,27.06,100,12,,6.98,66.87,100,100,100,,,,,56,2010
765,"SC","Seychelles",55.37,82.89,37.02,82.56,100,66.1,3.96,48,,51.16,72.42,26.83,82.56,100,100,100,69.53,62.67,3.96,,48,,5.56,96.77,75.01,72.4,42.26,100,22.14,33.06,,29,2010
791,"TR","Turkey",55.02,74.07,42.31,64.63,86.49,71.1,48.93,54.17,52.35,23.52,32.62,46.52,64.63,97,90.89,71.58,47.93,94.26,48.93,12.33,96,52.35,24.01,23.02,13.7,14.34,77.46,25,55.37,40.62,43.4,100,2010
629,"AL","Albania",54.8,72.8,42.8,93.18,69.72,55.5,3.36,60,17.25,0,63.19,85.74,93.18,61,84.86,63.31,54.34,56.65,3.36,100,20,17.25,0,0,58.79,57.06,73.71,,86.45,78.69,99.4,100,2010
669,"CU","Cuba",54.77,80.05,37.92,92.45,97,50.7,9.19,84,100,31.74,56.06,16.93,92.45,91,100,100,49.8,51.61,9.19,,84,100,14.2,49.27,37.17,54.24,82.84,50,0,14.87,23.47,100,2010
733,"MX","Mexico",54.66,69.47,44.8,75.41,88.2,44.79,37.45,54.91,19.87,22.84,62.32,51.35,75.41,86,99.81,78.78,36.43,53.16,37.45,29.82,80,19.87,12.39,33.28,62.93,66.46,82.89,37,60.05,27.12,73.66,99,2010
781,"SY","Syria",54.37,66.77,46.11,79.76,70.38,50.17,82.17,92,3.3,0,23.44,59.1,79.76,100,70.14,41.01,58.43,41.91,82.17,100,84,3.3,0,0,3.76,3.28,63.28,,35.2,69.32,39.05,93,2010
734,"MD","Moldova",53.74,67.83,44.34,75.29,78.39,49.81,34.15,74,100,,7.51,63.16,75.29,89,83.94,62.23,38.42,61.2,34.15,100,48,100,,,7.51,7.14,,,81.55,49.64,90,99,2010
798,"UY","Uruguay",53.43,89.18,29.6,79.71,100,87.82,6.67,68.06,100,22.51,24.62,24.51,79.71,100,100,100,81.2,94.45,6.67,52.12,84,100,24.24,20.79,2.67,2.68,68.49,,18.47,60.86,10.73,99,2010
775,"LK","Sri Lanka",53.36,66.36,44.69,81.92,71.16,46.01,0,92,33.76,61.32,67.7,54.62,81.92,25,100,88.49,46.29,45.73,0,100,84,33.76,47.76,74.87,85.21,97.14,53.45,35,76.3,49.27,64.84,85,2010
760,"RU","Russia",53.3,73.89,39.58,82.55,94,45.12,21.5,12.93,35.07,14.48,53.39,61.02,82.55,100,100,82.01,23.39,66.86,21.5,21.87,4,35.07,20.82,8.14,61.08,64.28,88.21,0,90,26.94,47.77,100,2010
785,"TH","Thailand",53.24,71.52,41.06,87.28,69.63,57.65,16,62.13,25.34,23.6,70.19,46.05,87.28,74,80.21,54.68,54.77,60.52,16,32.26,92,25.34,30.97,16.23,76.12,51.63,82.82,,42.41,42.91,52.4,100,2010
676,"DO","Dominican Republic",53.2,68.87,42.76,77.2,97.67,31.75,5.9,52.69,5.79,38.16,92.94,44.06,77.2,93,100,100,33.98,29.52,5.9,9.38,96,5.79,22.71,53.62,75.78,97.03,98.96,100,90,39.28,45.65,98,2010
777,"SR","Suriname",53.15,66.51,44.24,62.53,96,41.01,0.01,86,63.12,16.73,75.04,52.76,62.53,88,100,100,35.11,46.92,0.01,100,72,63.12,0,33.45,57.55,83.9,83.67,,82.78,40.15,,100,2010
772,"ZA","South Africa",53,57.63,49.91,43.52,93.44,35.92,27.86,79.2,100,5.24,63.96,49.87,43.52,85,100,95.32,26.05,45.78,27.86,70.41,88,100,10.48,0,38.22,42.62,100,75,52.04,56.54,38.54,83,2010
684,"FJ","Fiji",52.88,70.26,41.3,71.27,87.67,51.83,3.9,94,58.94,38.11,37.98,65.71,71.27,63,100,100,41.01,62.65,3.9,100,88,58.94,8.6,67.62,16.45,18.27,77.21,40,21.24,67.16,,56,2010
650,"BR","Brazil",52.71,71.43,40.24,67.23,97.88,49.17,10.87,74.51,10.81,25.74,66.74,53.82,67.23,94,100,99.64,32.1,66.24,10.87,61.01,88,10.81,22.2,29.28,82.4,73.54,81.04,30,52.02,26.19,79.65,99,2010
789,"TT","Trinidad and Tobago",52.3,71.45,39.53,62.28,100,52.06,5.25,96,17.88,26.27,83.48,32.54,62.28,100,100,100,51.06,53.05,5.25,,96,17.88,3.38,49.16,96.18,92.05,45.68,100,26.96,11.34,51.79,99,2010
639,"BH","Bahrain",51.75,83.03,30.9,80.58,75.11,93.4,64.27,12,,0,4.99,39.57,80.58,95,78.17,52.16,86.81,100,64.27,,12,,0,0,7.48,7.48,0,,32.21,26.74,56.9,94,2010
737,"MA","Morocco",51.57,62.79,44.09,63.39,98.85,26.12,39.39,46.35,100,17.72,31.2,49.4,63.39,98,100,98.56,22.85,29.39,39.39,8.71,84,100,17.83,17.61,20.12,12.44,61.05,,45.9,44.54,59.1,99,2010
750,"PW","Palau",51.51,84.7,29.38,75.25,100,78.85,40,4,,50,43.95,1.02,75.25,100,100,100,100,57.71,40,,4,,0,100,65.92,65.92,0,,2.42,0,,56,2010
725,"MK","Macedonia",51.4,80.73,31.84,100,72.39,69.81,3.74,94,25.34,,27.54,54.41,100,67,84.71,65.47,48.7,90.92,3.74,100,88,25.34,,,27.54,46.85,,,90,53.19,53.4,99,2010
712,"KZ","Kazakhstan",50.93,75.1,34.83,66.11,95.68,63.5,30.5,36.69,74.82,,14.11,43.49,66.11,91,100,96.04,70.61,56.38,30.5,21.38,52,74.82,,,14.11,19.58,,,29.46,39.81,59.37,100,2010
719,"LB","Lebanon",50.82,87.63,26.29,90.76,83.43,88.69,15.08,90,74.82,0,1.71,40.43,90.76,100,85.89,64.39,77.38,100,15.08,100,80,74.82,0,0,2.56,2.56,0,,68.34,12.17,56.53,100,2010
704,"IR","Iran",50.76,75.58,34.21,62.44,92.79,71.49,2.77,92,84.12,20.62,37.06,36.73,62.44,100,98.53,79.86,85.42,57.57,2.77,100,84,84.12,12.61,28.64,40.3,34.39,73.54,0,28.76,32.13,46.18,98,2010
663,"CO","Colombia",50.64,65.49,40.73,61.85,95.21,39.4,4.6,52.51,26.24,34.17,80.18,43.49,61.85,86,100,99.64,29.46,49.34,4.6,13.01,92,26.24,12.91,55.42,89.05,76.54,99.14,56,64.68,36.3,48.1,97,2010
759,"RO","Romania",50.57,62.29,42.76,84.71,70.83,31.32,13.05,68.1,45.05,0,63.51,62.82,84.71,83,77.69,51.8,24.66,37.99,13.05,44.21,92,45.05,0,0,40.13,51.12,99.26,,90,60.61,51.58,100,2010
647,"BO","Bolivia",50.39,53.73,48.17,47.24,90.33,23.6,11.3,64,11.77,,81.04,63.57,47.24,71,100,100,10.02,37.18,11.3,100,28,11.77,,,95.73,91.7,,43,0,90,11.28,80,2010
744,"NI","Nicaragua",50.09,59.32,43.93,73,81.88,23.08,8.4,88,0,28.11,91.67,46.82,73,46,100,99.64,12.83,33.33,8.4,100,76,0,21.57,34.66,91.1,91.91,92.01,,51.87,37.24,65.96,74,2010
630,"DZ","Algeria",49.89,70.11,36.41,65.25,99.16,45.93,34.64,94,26.24,23.28,34.86,37.53,65.25,100,100,97.48,60.06,31.79,34.64,100,88,26.24,11.76,34.8,37.12,19.43,48.04,,26.2,28.62,55.48,99,2010
644,"BZ","Belize",49.78,78.04,30.93,79.67,96,58.47,2.28,92,4.69,0,98.58,2.59,79.67,88,100,100,45.46,71.48,2.28,100,84,4.69,0,0,99.93,99.67,96.15,,83.28,0,,88,2010
633,"AR","Argentina",49.2,85.72,24.85,84.06,99.64,73.46,11.75,96,0,16.94,44.88,16.79,84.06,100,100,98.92,63.45,83.47,11.75,100,92,0,20.27,13.61,29.1,35.9,64.53,50,13.6,22.06,11.47,88,2010
805,"ZW","Zimbabwe",48.9,45.28,51.31,40.35,78,17.48,14.03,52,23.64,,99.52,,40.35,34,100,100,8.02,26.94,14.03,100,4,23.64,,,99.74,98.96,,100,,,,37,2010
632,"AG","Antigua and Barbuda",48.75,81.26,27.08,82.76,100,61.02,11.37,84,,0,60.92,8.41,82.76,100,100,100,49.41,72.62,11.37,,84,,0,0,38,60.64,45.05,100,13.11,0,,88,2010
794,"UA","Ukraine",48.7,76.81,29.96,82.6,82.54,65.29,14.7,62.03,32.52,26.16,41.46,27.78,82.6,97,86.24,64.39,57.27,73.3,14.7,56.06,68,32.52,9.84,42.48,20.17,22.39,81.82,,90,17.52,45.9,100,2010
