"id","iso","country","score","eh","ev","eh_hi","eh_aq","eh_ws","ev_wr","ev_ag","ev_fo","ev_fi","ev_bd","ev_ce","eh_hi_child_mortality","eh_aq_household_air_quality","eh_aq_exposure_pm25","eh_aq_exceedance_pm25","eh_ws_access_to_sanitation","eh_ws_access_to_drinking_water","ev_wr_wastewater_treatment","ev_ag_agricultural_subsidies","ev_ag_pesticide_regulation","ev_fo_change_in_forest_cover","ev_fi_fish_stocks","ev_fi_coastal_shelf_fishing_pressure","ev_bd_terrestrial_protected_areas_national_biome","ev_bd_terrestrial_protected_areas_global_biome","ev_bd_marine_protected_areas","ev_bd_critical_habitat_protection","ev_ce_trend_in_carbon_intensity","ev_ce_change_of_trend_in_carbon_intensity","ev_ce_trend_in_co2_emissions_per_kwh","access_to_electricity","year"
45,"HR","Croatia",62.23,83.39,48.13,95.79,76.67,77.71,13.23,60.99,63.12,19.3,70.87,63.26,95.79,92,81.17,56.83,76.96,78.47,13.23,25.98,96,63.12,14.72,23.89,71.94,55.18,85.5,0,72.63,42.91,63.39,100,2014
46,"TW","Taiwan",62.18,90.44,43.33,94.95,76.38,100,4.59,44.96,49.65,27.04,71.39,57.69,94.95,100,76.61,52.52,100,100,4.59,17.93,72,49.65,19.48,34.6,67.65,67.65,78.86,0,64.79,46.67,48.45,100,2014
47,"TO","Tonga",61.68,75.43,52.51,72.58,85.67,68.03,27.06,56,0,41.85,92.16,41.88,72.58,57,100,100,49.6,86.46,27.06,100,12,0,4.76,78.94,97.2,97.2,82.09,0,7.52,43.04,0,92,2014
48,"AM","Armenia",61.67,74.61,53.05,80.93,76.6,66.3,22.59,92,74.82,0,80.16,39.91,80.93,81,84.42,64.39,47.06,85.54,22.59,100,84,74.82,0,0,73.14,73.94,0,100,72.39,13.68,89.95,100,2014
49,"LT","Lithuania",61.26,73.87,52.86,92.69,85.09,43.81,45.82,66.61,23.64,0,91.83,51.02,92.69,93,89.98,72.3,40.39,47.22,45.82,37.22,96,23.64,0,0,87.75,87.75,100,0,70.02,17.71,42.59,100,2014
50,"EG","Egypt",61.11,69.47,55.54,66.83,67.99,73.59,49.5,73.01,0,23.78,65.26,61.05,66.83,100,65.12,38.85,59.69,87.49,49.5,58.02,88,0,5.23,42.34,65.81,37.96,92.01,0,25.37,74.42,35.25,100,2014
51,"MY","Malaysia",59.31,87.71,40.37,95.38,90.54,77.21,8.64,57.68,1.68,17.6,93.37,40.24,95.38,100,96.09,75.54,62.49,91.94,8.64,35.35,80,1.68,21.5,13.7,100,100,73.49,100,37.59,49.44,31.68,99,2014
52,"TN","Tunisia",58.99,81.19,44.19,89.95,99.04,54.57,27.77,88,100,14.85,31.08,54.38,89.95,100,100,97.12,45.86,63.29,27.77,100,76,100,2.94,26.76,7.4,18.81,67.02,0,66.86,47.71,66.57,100,2014
53,"EC","Ecuador",58.54,73.44,48.62,72.1,98.13,50.07,6.4,96,28.15,37.17,88.09,54.66,72.1,98,100,96.4,53.28,46.86,6.4,100,92,28.15,28.07,46.27,91.85,76.5,100,84,48.8,51.28,61.75,97,2014
54,"CR","Costa Rica",58.53,82.62,42.47,90.39,97.88,59.57,0.9,90,19.87,37.51,89.55,38.46,90.39,94,100,99.64,55.5,63.65,0.9,100,80,19.87,27.08,47.93,94.44,89.28,74.46,100,46.55,34.42,38.81,99,2014
55,"JM","Jamaica",58.26,70.03,50.41,72.5,96.33,41.26,10,96,18.52,0,88.04,76.98,72.5,89,100,100,32.02,50.5,10,100,92,18.52,0,0,81.34,95.67,75.13,100,16.38,90,60.32,92,2014
56,"MU","Mauritius",58.09,86.55,39.11,88.37,100,71.27,5.44,92,100,47.5,43.7,29.91,88.37,100,100,100,47.63,94.9,5.44,0,92,100,0.64,94.36,28.32,28.32,18.17,100,24.23,32.39,0,100,2014
57,"VE","Venezuela",57.8,72.83,47.79,70.44,99.04,49.01,14.94,94,33.76,18.5,92.92,43.59,70.44,100,100,97.12,48.15,49.87,14.94,100,88,33.76,8.24,28.76,100,100,85.66,86,47.13,19.22,57.04,100,2014
58,"PA","Panama",56.84,68.6,48.99,72.7,94,39.11,20.15,96,14.35,27.75,86.96,52.82,72.7,82,100,100,24,54.22,20.15,0,96,14.35,19.49,36.01,92.44,76.52,78.87,100,71.48,32.83,60.36,88,2014
59,"KI","Kiribati",55.82,51.45,58.73,58.45,84.67,11.24,27.06,56,0,36.08,100,0,58.45,54,100,100,7.65,14.83,27.06,100,12,0,5.3,66.87,100,100,100,0,0,0,0,56,2014
